p,pfail,err
0.025,0.005897640943622551,0.0015310799546849301
0.0251053,0.009996001599360257,0.00198918321946524
0.0252105,0.01799280287884846,0.0026579689331940313
0.0253158,0.02968812475009996,0.0033938309863726806
0.0254211,0.04888044782087165,0.004311499071898576
0.0255263,0.07447021191523391,0.005249641538857584
0.0256316,0.11055577768892443,0.0062703709669032805
0.0257368,0.16113554578168732,0.007351648384773356
0.0258421,0.22171131547381048,0.008306296731980703
0.0259474,0.2824870051979208,0.009002378669452258
0.0260526,0.329968012794882,0.009402142799125388
0.0261579,0.405437824870052,0.009817568138608193
0.0262632,0.4475209916033587,0.009942778179960957
0.0263684,0.4690123950419832,0.00997878133365114
0.0264737,0.5027988804478208,0.009997843955263255
0.026579,0.5145941623350659,0.009993740752521234
0.0266842,0.5146941223510596,0.009993682185955248
0.0267895,0.5212914834066373,0.009988931754231864
0.0268947,0.5256897241103559,0.009984795279591034
0.027,0.521391443422631,0.009988846361750844
