43.0,37.0,34.0,39.0,43.0,38.0,33.0,36.0,37.0,96.0,91.0,76.0,85.0,83.0,64.0,78.0,67.0,76.0
140.0,103.0,117.0,129.0,147.0,106.0,106.0,129.0,122.0,276.0,281.0,244.0,231.0,235.0,228.0,224.0,236.0,230.0
245.0,207.0,222.0,198.0,253.0,192.0,171.0,199.0,221.0,470.0,483.0,425.0,410.0,434.0,406.0,381.0,419.0,400.0
303.0,267.0,292.0,263.0,356.0,277.0,228.0,249.0,263.0,586.0,650.0,537.0,531.0,544.0,546.0,515.0,577.0,494.0
392.0,311.0,346.0,365.0,445.0,335.0,285.0,331.0,339.0,765.0,800.0,708.0,676.0,696.0,692.0,658.0,736.0,670.0
508.0,389.0,443.0,428.0,496.0,377.0,383.0,436.0,417.0,918.0,904.0,812.0,783.0,780.0,769.0,789.0,844.0,757.0
602.0,463.0,520.0,514.0,619.0,514.0,421.0,533.0,549.0,1103.0,1101.0,958.0,946.0,979.0,964.0,940.0,995.0,936.0
699.0,594.0,625.0,608.0,728.0,599.0,506.0,608.0,611.0,1191.0,1248.0,1109.0,1092.0,1077.0,1088.0,1080.0,1160.0,1086.0
753.0,640.0,679.0,706.0,761.0,604.0,597.0,642.0,680.0,1359.0,1398.0,1232.0,1204.0,1194.0,1197.0,1190.0,1250.0,1182.0
826.0,709.0,719.0,768.0,856.0,708.0,605.0,722.0,760.0,1434.0,1512.0,1342.0,1288.0,1332.0,1290.0,1282.0,1406.0,1276.0
918.0,778.0,839.0,827.0,993.0,763.0,716.0,836.0,835.0,1626.0,1675.0,1533.0,1447.0,1474.0,1485.0,1474.0,1492.0,1429.0
957.0,843.0,833.0,854.0,974.0,817.0,730.0,834.0,862.0,1657.0,1680.0,1562.0,1561.0,1501.0,1521.0,1543.0,1622.0,1459.0
1034.0,903.0,972.0,930.0,1109.0,935.0,789.0,980.0,964.0,1776.0,1884.0,1689.0,1663.0,1711.0,1676.0,1654.0,1733.0,1606.0
1104.0,984.0,1033.0,984.0,1182.0,973.0,883.0,1019.0,983.0,1894.0,1965.0,1769.0,1699.0,1719.0,1705.0,1695.0,1768.0,1665.0
1165.0,1008.0,1040.0,1076.0,1262.0,1070.0,940.0,1065.0,1089.0,2063.0,2162.0,1922.0,1826.0,1905.0,1857.0,1808.0,1948.0,1830.0
1264.0,1148.0,1217.0,1187.0,1336.0,1112.0,1078.0,1105.0,1137.0,2173.0,2299.0,2056.0,1971.0,2029.0,1961.0,1989.0,2091.0,1898.0
1243.0,1189.0,1209.0,1173.0,1377.0,1250.0,1076.0,1215.0,1180.0,2132.0,2248.0,2084.0,2015.0,2041.0,2078.0,1967.0,2098.0,1973.0
1402.0,1303.0,1277.0,1294.0,1472.0,1333.0,1096.0,1298.0,1312.0,2340.0,2353.0,2109.0,2197.0,2215.0,2137.0,2069.0,2222.0,2120.0
1458.0,1305.0,1340.0,1313.0,1539.0,1354.0,1174.0,1358.0,1372.0,2455.0,2510.0,2279.0,2191.0,2209.0,2222.0,2194.0,2362.0,2204.0
1516.0,1358.0,1340.0,1428.0,1659.0,1456.0,1213.0,1381.0,1419.0,2476.0,2607.0,2299.0,2255.0,2373.0,2374.0,2252.0,2423.0,2266.0
1614.0,1494.0,1507.0,1527.0,1713.0,1458.0,1345.0,1489.0,1524.0,2612.0,2732.0,2451.0,2376.0,2500.0,2469.0,2412.0,2554.0,2461.0
1671.0,1576.0,1580.0,1593.0,1796.0,1530.0,1411.0,1580.0,1547.0,2728.0,2825.0,2517.0,2427.0,2496.0,2509.0,2520.0,2583.0,2534.0
1784.0,1663.0,1650.0,1669.0,1843.0,1612.0,1530.0,1592.0,1672.0,2850.0,2952.0,2568.0,2612.0,2613.0,2630.0,2540.0,2722.0,2587.0
1826.0,1700.0,1748.0,1730.0,1806.0,1664.0,1576.0,1709.0,1689.0,2881.0,2930.0,2768.0,2685.0,2737.0,2695.0,2677.0,2718.0,2672.0
1883.0,1804.0,1810.0,1814.0,1961.0,1738.0,1665.0,1755.0,1799.0,2957.0,3053.0,2803.0,2804.0,2784.0,2868.0,2806.0,2857.0,2701.0
2054.0,1934.0,1964.0,1930.0,2156.0,1914.0,1734.0,1958.0,1916.0,3069.0,3178.0,2897.0,2938.0,2899.0,2948.0,2994.0,2986.0,2931.0
2162.0,1981.0,2028.0,2055.0,2195.0,2043.0,1839.0,2067.0,2018.0,3142.0,3211.0,2979.0,2988.0,3044.0,3010.0,2982.0,3054.0,2908.0
2229.0,2039.0,2071.0,2128.0,2239.0,2057.0,1917.0,2069.0,2113.0,3271.0,3314.0,3073.0,3024.0,3165.0,3058.0,2977.0,3103.0,2955.0
2346.0,2169.0,2243.0,2245.0,2485.0,2219.0,2092.0,2212.0,2199.0,3351.0,3453.0,3155.0,3200.0,3237.0,3179.0,3131.0,3268.0,3085.0
2351.0,2352.0,2368.0,2255.0,2479.0,2303.0,2174.0,2300.0,2315.0,3482.0,3473.0,3316.0,3161.0,3230.0,3278.0,3219.0,3348.0,3203.0
2632.0,2422.0,2462.0,2460.0,2584.0,2426.0,2341.0,2469.0,2446.0,3537.0,3667.0,3460.0,3408.0,3407.0,3435.0,3332.0,3458.0,3358.0
2722.0,2462.0,2513.0,2526.0,2714.0,2546.0,2464.0,2467.0,2606.0,3624.0,3705.0,3473.0,3417.0,3538.0,3527.0,3548.0,3632.0,3390.0
2810.0,2646.0,2734.0,2663.0,2846.0,2678.0,2541.0,2680.0,2615.0,3671.0,3797.0,3622.0,3526.0,3622.0,3520.0,3569.0,3607.0,3596.0
