p,pfail,err
0.0255263,0.002469901203951842,0.0003139237005327762
0.0256316,0.0061297548098076075,0.0004936370017853086
0.0257368,0.014119435222591096,0.0007461774585388256
0.0258421,0.031258749650013996,0.001100553115540938
0.0259474,0.06215751369945202,0.001526979050611153
0.0260526,0.11421543138274469,0.002011628394788655
0.0261579,0.1889924403023879,0.002476030428603436
0.0262632,0.2717791288348466,0.0028135907141722772
0.0263684,0.35898564057437704,0.0030338473673270578
0.0264737,0.4266029358825647,0.0031279583555761537
0.026579,0.46959121635134593,0.003156360836553887
0.0266842,0.49483020679172834,0.003162045380491529
0.0267895,0.5057197712091517,0.0031620075011035502
0.0268947,0.5075896964121435,0.0031618500863412422
0.027,0.514599416023359,0.003160866121664363
