p,pfail,err
0.0254211,0.018092762894842063,0.0026652062960358367
0.0255263,0.027489004398240705,0.0032694140127825493
0.0256316,0.040683726509396244,0.003950339515758874
0.0257368,0.05417832866853259,0.004526479795685662
0.0258421,0.08346661335465813,0.005530618412790174
0.0259474,0.10995601759296282,0.0062554475831420224
0.0260526,0.14684126349460216,0.0070775367269634
0.0261579,0.19362255097960815,0.007901150057036847
0.0262632,0.23950419832067174,0.008533911404826714
0.0263684,0.29498200719712114,0.009118869860668982
0.0264737,0.34936025589764097,0.009533452276787502
0.026579,0.3857457017193123,0.009733472450024242
0.0266842,0.4343262694922031,0.009911381853827183
0.0267895,0.46021591363454617,0.009966301205810331
0.0268947,0.4853058776489404,0.009993682185955248
0.027,0.502998800479808,0.00999782077805703
