29.0,35.0,42.0,38.0,38.0,39.0,45.0,38.0,76.0,89.0,66.0,67.0,87.0,72.0,54.0,69.0,66.0,64.0
60.0,80.0,70.0,64.0,74.0,72.0,63.0,72.0,141.0,164.0,122.0,136.0,143.0,127.0,145.0,137.0,140.0,124.0
95.0,116.0,96.0,100.0,107.0,132.0,116.0,96.0,197.0,215.0,176.0,166.0,210.0,180.0,203.0,177.0,172.0,181.0
137.0,162.0,163.0,130.0,148.0,141.0,154.0,129.0,242.0,268.0,222.0,247.0,254.0,245.0,244.0,219.0,254.0,220.0
157.0,185.0,158.0,166.0,166.0,175.0,165.0,186.0,294.0,293.0,285.0,277.0,307.0,296.0,308.0,251.0,246.0,276.0
223.0,258.0,224.0,229.0,234.0,247.0,243.0,213.0,331.0,326.0,340.0,330.0,338.0,357.0,338.0,321.0,318.0,313.0
311.0,321.0,311.0,314.0,335.0,293.0,338.0,301.0,380.0,390.0,372.0,368.0,410.0,390.0,373.0,385.0,391.0,370.0
403.0,384.0,405.0,383.0,397.0,406.0,400.0,391.0,446.0,435.0,458.0,443.0,448.0,445.0,473.0,450.0,457.0,425.0
460.0,453.0,456.0,443.0,476.0,453.0,460.0,452.0,490.0,469.0,467.0,491.0,488.0,490.0,497.0,481.0,487.0,499.0
467.0,495.0,492.0,485.0,479.0,504.0,512.0,476.0,492.0,547.0,458.0,478.0,474.0,498.0,509.0,495.0,494.0,487.0
