p,pfail,err
0.0526316,0.00019992003198720512,0.0002827013575563097
0.0528947,0.00019992003198720512,0.0002827013575563097
0.0531579,0.00019992003198720512,0.0002827013575563097
0.0534211,0.00019992003198720512,0.0002827013575563097
0.0536842,0.00019992003198720512,0.0002827013575563097
0.0539474,0.00019992003198720512,0.0002827013575563097
0.0542105,0.002099160335865654,0.0009151866028809403
0.0544737,0.08346661335465813,0.005530618412790174
0.0547368,0.4422231107556977,0.009931026246807261
0.055,0.5073970411835266,0.009996906434362018
