p,pfail,err
0.0526316,0.00019992003198720512,0.0002827013575563097
0.0528947,0.00019992003198720512,0.0002827013575563097
0.0531579,0.00019992003198720512,0.0002827013575563097
0.0534211,0.00019992003198720512,0.0002827013575563097
0.0536842,0.00039984006397441024,0.0003997601199440252
0.0539474,0.0013994402239104358,0.000747508667979558
0.0542105,0.012195121951219513,0.0021946830584926983
0.0544737,0.10685725709716114,0.006177398269609981
0.0547368,0.3859456217512995,0.0097344098961627
0.055,0.512594962015194,0.009994828069430675
