p,pfail,err
0.0506053,0.004229830806767729,0.0004104519882899415
0.0506579,0.008009679612815488,0.0005637448655923015
0.0507105,0.015099396024159033,0.0007712537696890015
0.0507632,0.026958921643134275,0.001024325904064051
0.0508158,0.050179928028788484,0.004365448234192163
0.0508684,0.0745701719312275,0.005252879920269181
0.0509211,0.1089564174330268,0.00623044454574308
0.0509737,0.16863254698120753,0.007487043615679964
0.0510263,0.22870851659336267,0.008398342666776049
0.0510789,0.2896841263494602,0.009070500742668785
0.0511316,0.36115553778488607,0.009604789707783614
0.0511842,0.41203518592562977,0.009842059242957637
0.0512368,0.45461815273890444,0.009956733428160286
0.0512895,0.4897041183526589,0.009995880695371025
