p,pfail,err
0.0506053,0.0016899324027038918,0.00025976982510031075
0.0506579,0.004259829606815728,0.0004118987156078399
0.0507105,0.010489580416783328,0.0006443332663802172
0.0507632,0.02419903203871845,0.0009718537829803831
0.0508158,0.047181127548980406,0.00423967422874076
0.0508684,0.0939624150339864,0.005834361655538322
0.0509211,0.15013994402239103,0.007142742399453011
0.0509737,0.22820871651339464,0.008391878802529678
0.0510263,0.3231707317073171,0.009351875796740601
0.0510789,0.39594162335065974,0.00977908428759258
0.0511316,0.4516193522590964,0.00995108614792671
0.0511842,0.4867053178728509,0.009994465710227938
0.0512368,0.5216913234706118,0.009988587780066874
0.0512895,0.5181927229108356,0.009991380228061144
