p,pfail,err
0.0001,0.00019992003198720512,0.0002827013575563097
0.000621053,0.00019992003198720512,0.0002827013575563097
0.00114211,0.0002998800479808077,0.0003462197289796732
0.00166316,0.0011995201919232307,0.0006921278212328918
0.00218421,0.006397441023590564,0.001594236140986274
0.00270526,0.017692922830867652,0.0026361285354787275
0.00322631,0.03758496601359456,0.0038030447377896503
0.00374737,0.06057576969212315,0.0047700562840024205
0.00426842,0.09066373450619752,0.0057414582610561165
0.00478947,0.12934826069572172,0.006710357941183601
0.00531053,0.18252698920431829,0.007724020376087954
0.00583158,0.22151139544182327,0.008303617213537976
0.00635263,0.27918832467013194,0.008970211577042763
0.00687369,0.32526989204318274,0.00936763869326121
0.00739474,0.37245101959216315,0.009667218886027788
0.00791579,0.4016393442622951,0.009802634131027067
0.00843684,0.44002399040383844,0.009925811937172879
0.00895789,0.47061175529788085,0.009980715733588923
0.00947895,0.4855057976809276,0.009993798918975724
0.01,0.5013994402239105,0.009997961438895952
